genus,species,subspecies,variant,wood
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Picea,abies,,,woody
Chusquea,abietifolia,,,woody
Erica,abietina,,,woody
Rosa,abietina,,,woody
Helichrysum,abietinum,,,woody
Rubus,abietinus,,,woody
Digitaria,abludens,,,non-woody
Aristida,abnormis,,,non-woody
Calamagrostis,abnormis,,,non-woody
Phyllanthus,abnormis,,,non-woody
Millettia,aboensis,,,woody
Elymus,abolinii,,,non-woody
Astragalus,aboriginum,,,non-woody
Astragalus,aboriginum,,,non-woody
Bulbostylis,abortiva,,,non-woody
Heterachne,abortiva,,,non-woody
Limodorum,abortivum,,,non-woody
Heterachne,abortivum,,,non-woody
Limodorum,abortivum,,,non-woody
Epilobium,abortivum,,,non-woody
Ranunculus,abortivus,,,non-woody
Ranunculus,abortivus,,,non-woody
Leptolaena,abrahamii,,,woody
Dalbergia,abrahamii,,,woody
Nesogordonia,abrahamii,,,woody
Ecclinusa,abreviata,,,woody
Adenanthera,abrosperma,,,woody
Pelargonium,abrotanifolium,,,semi-woody
Senecio,abrotanifolius,,,semi-woody
Senecio,abrotanifolius,,,non-woody
Euryops,abrotanifolius,,,woody
Berzelia,abrotanoides,,,woody
Perovskia,abrotanoides,,,semi-woody
Berzelia,abrotanoides,,,woody
Artemisia,abrotanum,,,woody
Chazaliella,abrupta,,,woody
Ipomoea,abrupta,,,non-woody
Chazaliella,abrupta,,,woody
Carex,abscondita,,,non-woody
Crotalaria,abscondita,,,woody
Chamaecytisus,absinthioides,,,woody
Artemisia,absinthium,,,non-woody
Artemisia,absinthium,,,semi-woody
Artemisia,absinthium,,,semi-woody
Artemisia,absinthium,,,non-woody
Artemisia,absinthium,,,semi-woody
Artemisia,absinthium,,,semi-woody
Artemisia,absinthium,,,semi-woody
Artemisia,absinthium,,,semi-woody
Artemisia,absinthium,,,semi-woody
Artemisia,absinthium,,,semi-woody
Eucalyptus,absita,,,woody
Ranunculus,abstrusus,,,non-woody
Taraxacum,absurdum,,,non-woody
Chamaecrista,absus,,,non-woody
Cassia,absus,,,semi-woody
Ionopsidium,abulense,,,non-woody
Trichoscypha,abut,,,woody
Trichoscypha,abut,,,woody
Sida,abutifolia,,,non-woody
Ficus,abutilifolia,,,woody
Solanum,abutiloides,,,woody
Abutilon,abutiloides,,,semi-woody
Sphaeralcea,abutiloides,,,semi-woody
Entada,abyssinica,,,woody
Bersama,abyssinica,,,woody
Guizotia,abyssinica,,,non-woody
Bersama,abyssinica,,,woody
Diospyros,abyssinica,,,woody
Dovyalis,abyssinica,,,woody
Hagenia,abyssinica,,,woody
Pavetta,abyssinica,,,woody
Dovyalis,abyssinica,,,woody
Ziziphus,abyssinica,,,woody
Dioscorea,abyssinica,,,non-woody
Stephania,abyssinica,,,woody
Turraea,abyssinica,,,woody
Selaginella,abyssinica,,,non-woody
Avena,abyssinica,,,non-woody
Digitaria,abyssinica,,,non-woody
Festuca,abyssinica,,,non-woody
Oxytenanthera,abyssinica,,,non-woody
Eragrostis,abyssinica,,,non-woody
Exotheca,abyssinica,,,non-woody
Heteromorpha,abyssinica,,,non-woody
Guizotia,abyssinica,,,non-woody
Crambe,abyssinica,,,non-woody
Wahlenbergia,abyssinica,,,non-woody
Antopetitia,abyssinica,,,non-woody
Swertia,abyssinica,,,non-woody
Aristea,abyssinica,,,non-woody
Peperomia,abyssinica,,,non-woody
Veronica,abyssinica,,,non-woody
Caylusea,abyssinica,,,non-woody
Viola,abyssinica,,,non-woody
Bulbine,abyssinica,,,non-woody
Uebelinia,abyssinica,,,non-woody
Hydnora,abyssinica,,,non-woody
Ludwigia,abyssinica,,,non-woody
Cometes,abyssinica,,,non-woody
Aeschynomene,abyssinica,,,semi-woody
Hedbergia,abyssinica,,,semi-woody
Clutia,abyssinica,,,woody
Cluytia,abyssinica,,,woody
Ziziphus,abyssinica,,,woody
Harrisonia,abyssinica,,,woody
Pavetta,abyssinica,,,woody
Halleria,abyssinica,,,woody
Kleinia,abyssinica,,,non-woody
Euphorbia,abyssinica,,,woody
Schefflera,abyssinica,,,woody
Cordia,abyssinica,,,woody
Diospyros,abyssinica,,,woody
Entada,abyssinica,,,woody
Erythrina,abyssinica,,,woody
Acacia,abyssinica,,,woody
Bersama,abyssinica,,,woody
Hagenia,abyssinica,,,woody
Dovyalis,abyssinica,,,woody
Jasminum,abyssinicum,,,woody
Heracleum,abyssinicum,,,non-woody
Erucastrum,abyssinicum,,,non-woody
Biophytum,abyssinicum,,,non-woody
Delosperma,abyssinicum,,,non-woody
Allophylus,abyssinicus,,,woody
Andropogon,abyssinicus,,,non-woody
Crinipes,abyssinicus,,,non-woody
Rumex,abyssinicus,,,non-woody
Allophylus,abyssinicus,,,woody
Loranthus,acaciae,,,woody
Eucalyptus,acaciaeformis,,,woody
Macrolobium,acaciifolium,,,woody
Macrolobium,acaciifolium,,,woody
Macrolobium,acaciifolium,,,woody
Macrolobium,acaciifolium,,,woody
Eucalyptus,acaciiformis,,,woody
Melaleuca,acacioides,,,woody
Cotula,acaenoides,,,non-woody
Liquidambar,acalycina,,,woody
Eragrostis,acamptoclada,,,non-woody
Festuca,acamptophylla,,,non-woody
Franseria,acanthicarpa,,,non-woody
Ambrosia,acanthicarpa,,,non-woody
Ambrosia,acanthicarpa,,,non-woody
Carlina,acanthifolia,,,non-woody
Grevillea,acanthifolia,,,woody
Onopordum,acanthium,,,non-woody
Onopordum,acanthium,,,non-woody
Onopordum,acanthium,,,non-woody
Onopordum,acanthium,,,non-woody
Onopordum,acanthium,,,non-woody
Erythrina,acanthocarpa,,,woody
Bactris,acanthocarpa,,,woody
Glycyrrhiza,acanthocarpa,,,semi-woody
Atriplex,acanthocarpa,,,woody
Ipomoea,acanthocarpa,,,woody
Tetragonia,acanthocarpa,,,woody
Bactris,acanthocarpa,,,woody
Bactris,acanthocarpoides,,,woody
Sterigmostemum,acanthocarpum,,,non-woody
Gonocarpus,acanthocarpus,,,non-woody
Euonymus,acanthocarpus,,,woody
Amaranthus,acanthochiton,,,non-woody
Genista,acanthoclada,,,woody
Genista,acanthoclada,,,woody
Genista,acanthoclada,,,woody
Genista,acanthoclada,,,woody
Acacia,acanthoclada,,,woody
Desmodium,acanthocladum,,,woody
Trithrinax,acanthocoma,,,woody
Solanum,acanthodapis,,,woody
Solanum,acanthodes,,,woody
Ferocactus,acanthodes,,,woody
Rubus,acanthodes,,,woody
Launaea,acanthodes,,,woody
Solanum,acanthodes,,,woody
Ferocactus,acanthodes,,,semi-woody
Carduus,acanthoides,,,non-woody
Carduus,acanthoides,,,non-woody
Barleria,acanthoides,,,non-woody
Mimosa,acantholoba,,,woody
Acacia,acanthophylla,,,woody
Acacia,acanthophylla,,,woody
Acacia,acanthophylla,,,woody
Festuca,acanthophylla,,,non-woody
Chondrilla,acanthophylla,,,non-woody
Zanthoxylum,acanthopodium,,,woody
Xanthorrhoea,acanthostachya,,,non-woody
Euphorbia,acanthothamnos,,,woody
Euphorbia,acanthothamnos,,,woody
Euphorbia,acanthothamnos,,,woody
Coccoloba,acapulcensis,,,woody
Coccoloba,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Banisteriopsis,acapulcensis,,,woody
Wedelia,acapulcensis,,,non-woody
Coccoloba,acapulcensis,,,woody
Eugenia,acapulcensis,,,woody
Trichilia,acariaeantha,,,woody
Trichilia,acariaeantha,,,woody
Cirsium,acarna,,,non-woody
Picnomon,acarna,,,non-woody
Acacia,acatlensis,,,woody
Havardia,acatlensis,,,woody
Cirsium,acaule,,,non-woody
Cirsium,acaule,,,non-woody
Malvastrum,acaule,,,non-woody
Cirsium,acaule,,,non-woody
Cirsium,acaule,,,non-woody
Chamaesciadium,acaule,,,non-woody
Chamaesciadium,acaule,,,non-woody
Chamaesciadium,acaule,,,non-woody
Chamaesciadium,acaule,,,non-woody
Cirsium,acaule,,,non-woody
Malvastrum,acaule,,,non-woody
Cypripedium,acaule,,,non-woody
Isostigma,acaule,,,non-woody
Ionopsidium,acaule,,,non-woody
Geranium,acaule,,,non-woody
SILENE,ACAULIS,,,non-woody
Carlina,acaulis,,,non-woody
Silene,acaulis,,,semi-woody
Silene,acaulis,,,non-woody
Silene,acaulis,,,non-woody
Geonoma,acaulis,,,woody
Silene,acaulis,,,non-woody
Calandrinia,acaulis,,,non-woody
Silene,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Silene,acaulis,,,woody
Silene,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Silene,acaulis,,,non-woody
Carlina,acaulis,,,non-woody
Carlina,acaulis,,,non-woody
Carlina,acaulis,,,non-woody
Laretia,acaulis,,,non-woody
Cymopterus,acaulis,,,non-woody
Anisocoma,acaulis,,,non-woody
Arctotis,acaulis,,,non-woody
Carlina,acaulis,,,non-woody
Hesperevax,acaulis,,,non-woody
Silene,acaulis,,,non-woody
Faroa,acaulis,,,non-woody
Gentiana,acaulis,,,non-woody
Swertia,acaulis,,,non-woody
Alcea,acaulis,,,non-woody
Calandrinia,acaulis,,,non-woody
Primula,acaulis,,,non-woody
Potentilla,acaulis,,,non-woody
Huanaca,acaulis,,,non-woody
Geigeria,acaulis,,,non-woody
Sonchus,acaulis,,,non-woody
Stenotus,acaulis,,,non-woody
Haplophyllophora,acaulis,,,non-woody
Oenothera,acaulis,,,non-woody
Geonoma,acaulis,,,woody
Cirsium,acaulon,,,non-woody
Onopordum,acaulon,,,non-woody
Protea,acaulos,,,woody
Cirsium,acaulos,,,non-woody
Protea,acaulos,,,woody
Eucalyptus,accedens,,,woody
Deyeuxia,accedens,,,non-woody
Litsea,accedens,,,woody
Eucalyptus,accedens,,,woody
Coussarea,accedens,,,woody
Litsea,accedentoides,,,woody
Senna,acclinis,,,woody
Acacia,accola,,,woody
Vernonia,accommodata,,,semi-woody
Solanum,accrescens,,,woody
Cyrtococcum,accrescens,,,non-woody
Rubus,accrescens,,,woody
Schoutenia,accrescens,,,woody
Erigeron,acer,,,non-woody
Erigeron,acer,,,non-woody
Erigeron,acer,,,non-woody
Erigeron,acer,,,non-woody
Erigeron,acer,,,non-woody
Grevillea,acerata,,,woody
Hovenia,acerba,,,woody
Hovenia,acerba,,,woody
Omphacomeria,acerba,,,woody
PENTAPETES,ACERIFOLIA,,,woody
Platanus,acerifolia,,,woody
Clematis,acerifolia,,,woody
Platanus,acerifolia,,,woody
Sterculia,acerifolia,,,woody
Dombeya,acerifolia,,,woody
Platanus,acerifolia,,,woody
Viburnum,acerifolium,,,woody
Pterospermum,acerifolium,,,woody
Pterospermum,acerifolium,,,woody
Viburnum,acerifolium,,,woody
Pterospermum,acerifolium,,,woody
Brachychiton,acerifolium,,,woody
Pterocarpus,acerifolium,,,woody
Brachychiton,acerifolius,,,woody
Brachychiton,acerifolius,,,woody
Croton,aceroides,,,woody
Heteropterys,aceroides,,,woody
Monanthochloe,acerosa,,,non-woody
Monanhtochloe,acerosa,,,non-woody
Iva,acerosa,,,non-woody
Zinnia,acerosa,,,semi-woody
Thymophylla,acerosa,,,semi-woody
Melaleuca,acerosa,,,woody
Nenax,acerosa,,,woody
Richea,acerosa,,,woody
Oxytenia,acerosa,,,woody
Cyathodes,acerosa,,,woody
Persoonia,acerosa,,,woody
Dendrobium,acerosum,,,non-woody
Hypericum,acerosum,,,woody
Hemipogon,acerosus,,,non-woody
Euphorbia,acervata,,,woody
Taraxacum,acervatulum,,,non-woody
Ballota,acetabulosa,,,non-woody
Ballota,acetabulosa,,,woody
RUMEX,ACETOSA,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rheum,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
Ampelocissus,acetosa,,,woody
Rheum,acetosa,,,non-woody
Rumex,acetosa,,,non-woody
RUMEX,ACETOSELLA,,,non-woody
OXALIS,ACETOSELLA,,,non-woody
RUMEX,ACETOSELLA,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Sapium,acetosella,,,non-woody
Oxalis,acetosella,,,non-woody
Rumex,acetosella,,,non-woody
Hibiscus,acetosella,,,semi-woody
Pelargonium,acetosum,,,semi-woody
Calytrix,achaeta,,,woody
Juncus,achalensis,,,non-woody
Aristida,achalensis,,,non-woody
Stevia,achalensis,,,non-woody
Gentiana,achalensis,,,non-woody
Ixodia,achillaeoides,,,woody
Gilia,achilleifolia,,,non-woody
Gigantochloa,achmadii,,,non-woody
Myrsine,achradifolia,,,woody
Rapanea,achradifolia,,,woody
Festuca,achtarovii,,,non-woody
Lantana,achyranthifolia,,,woody
Cyathula,achyranthoides,,,non-woody
Hypochoeris,achyrophorus,,,non-woody
Dichanthelium,aciculare,,,non-woody
Dendrobium,aciculare,,,non-woody
Hibbertia,acicularis,,,woody
Persoonia,acicularis,,,woody
Eleocharis,acicularis,,,non-woody
Eleocharis,acicularis,,,non-woody
Chloris,acicularis,,,non-woody
Dianthus,acicularis,,,non-woody
Enteropogon,acicularis,,,non-woody
Orites,acicularis,,,woody
Rosa,acicularis,,,woody
Eleocharis,acicularis,,,non-woody
CAREX,ACICULARIS,,,non-woody
Eleocharis,acicularis,,,non-woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Colobanthus,acicularis,,,non-woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Rosa,acicularis,,,woody
Eleocharis,acicularis,,,non-woody
Enteropogon,acicularis,,,non-woody
Chloris,acicularis,,,non-woody
Fimbristylis,acicularis,,,non-woody
Aciachne,acicularis,,,non-woody
Chionochloa,acicularis,,,non-woody
Ehrharta,acicularis,,,non-woody
Dianthus,acicularis,,,non-woody
Carduus,acicularis,,,non-woody
Gnephosis,acicularis,,,non-woody
Rosa,acicularis,,,woody
Kunzea,acicularis,,,woody
Hibbertia,acicularis,,,woody
Daviesia,acicularis,,,woody
Dillwynia,acicularis,,,woody
Orites,acicularis,,,woody
Opuntia,acicularis,,,woody
Neolitsea,aciculata,,,woody
Neolitsea,aciculata,,,woody
Chrysopogon,aciculatus,,,non-woody
Oxylobium,aciculiferum,,,woody
Podolobium,aciculiferum,,,woody
Oxylobium,aciculiferum,,,woody
Lannea,acida,,,woody
Ambelania,acida,,,woody
Hymenocardia,acida,,,woody
